X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer;Pourcentage du taux de recuperation
766315.51;6284562.92;1.32;0.79;54;10560;76.6;42.4
766315.61;6284560.09;1.36;0.7;89;10880;118.5;14.4
766315.69;6284557.16;1.5;0.73;78;12000;120.4;23.2
766315.8;6284554.57;1.48;0.59;91;11840;133.7;12.8
766315.83;6284551.35;1.34;0.64;73;10720;92.9;27.2
766315.9;6284548.57;1.41;0.48;86;11280;112.6;16.8
766315.95;6284545.99;1.28;0.5;92;10240;106.6;12
766316.03;6284542.93;1.32;0.49;90;10560;108.1;13.6
766316.09;6284540.31;1.09;0.59;92;8720;90.7;12
766316.21;6284537.64;1.32;0.4;78;10560;90.3;23.2
766316.3;6284534.45;1.24;0.61;86;9920;97.8;16.8
766316.38;6284531.97;1.29;0.63;69;10320;83.3;30.4
766311.54;6284531.15;1.18;0.66;83;9440;89.5;19.2
766311.53;6284534.52;1.22;0.54;88;9760;96.2;15.2
766311.51;6284537.33;1.1;0.52;92;8800;89.1;12
766311.42;6284540.28;1.18;0.54;84;9440;87.5;18.4
766311.36;6284542.91;1.14;0.42;94;9120;92.1;10.4
766311.34;6284545.8;1.16;0.49;93;9280;94.8;11.2
766311.28;6284548.7;1.08;0.39;90;8640;81.4;13.6
766311.19;6284551.45;1.31;0.52;84;10480;99.9;18.4
766311.08;6284554.53;1.17;0.44;87;9360;87.4;16
766311;6284557.31;1.19;0.35;88;9520;88;15.2
766310.98;6284560.34;1.34;0.43;91;10720;109.9;12.8
766310.91;6284563.41;1.52;0.47;89;12160;131.1;14.4
766310.8;6284566.67;1.53;0.66;71;12240;111.4;28.8
766310.74;6284569.2;1.4;0.57;94;11200;126.9;10.4
766310.62;6284572.03;1.43;0.5;96;11440;131.7;8.8
766310.53;6284574.58;1.26;0.32;84;10080;89.4;18.4
766310.45;6284577.99;1.32;0.43;90;10560;106.2;13.6
766310.44;6284580.95;1.25;0.53;91;10000;102.9;12.8
766310.33;6284583.68;1.21;0.51;94;9680;101.8;10.4
766310.25;6284586.85;1.37;0.44;89;10960;111;14.4
766310.2;6284589.4;1.17;0.48;87;9360;88.4;16
766310.21;6284592.79;1.26;0.65;89;10080;105.1;14.4
766310.13;6284595.27;1.33;0.45;94;10640;113.7;10.4
766310.05;6284598.33;1.18;0.54;93;9440;98.3;11.2
766309.96;6284601.29;1.31;0.43;96;10480;113.5;8.8
766309.87;6284604.12;1.27;0.49;89;10160;101.3;14.4
766309.7;6284607.03;1.41;0.57;94;11280;128.2;10.4
766309.57;6284609.99;1.44;0.53;94;11520;130.8;10.4
766309.51;6284612.75;1.33;0.49;95;10640;116.4;9.6
766309.48;6284615.81;1.23;0.47;89;9840;96.5;14.4
766309.41;6284618.74;1.26;0.63;86;10080;100.4;16.8
766309.32;6284621.66;1.51;0.62;76;12080;114.8;24.8
766309.3;6284624.4;1.26;0.45;96;10080;108.3;8.8
766309.27;6284627.6;1.18;0.57;89;9440;94.2;14.4
766309.21;6284630.19;1.29;0.48;93;10320;108.5;11.2
766309.11;6284633.15;1.15;0.5;94;9200;95.3;10.4
766309.09;6284635.98;1.31;0.63;92;10480;114.4;12
766308.99;6284639;1.3;0.47;93;10400;109.3;11.2
766308.88;6284640.94;1.41;0.68;76;11280;105.1;24.8
766302.75;6284643.01;1.09;0.54;94;8720;92.5;10.4
766303.14;6284641.37;1.1;0.43;74;8800;68.5;26.4
766303.82;6284637.59;1.27;0.42;80;10160;88.3;21.6
766303.89;6284635.32;1.18;0.44;93;9440;95.4;11.2
766303.95;6284632.16;1.25;0.59;77;10000;87.5;24
766304.05;6284629.6;1.22;0.72;71;9760;81.6;28.8
766304.15;6284626.57;1.36;0.62;90;10880;117.3;13.6
766304.16;6284623.86;1.18;0.46;95;9440;98.4;9.6
766304.24;6284621.15;1.07;0.39;84;8560;74.5;18.4
766304.27;6284618.06;1.4;0.49;93;11200;122.4;11.2
766304.38;6284615.16;1.15;0.51;95;9200;96.8;9.6
766304.46;6284611.86;1.17;0.5;83;9360;84.5;19.2
766304.51;6284609.51;1.19;0.63;87;9520;94.5;16
766304.55;6284606.76;1.33;0.5;88;10640;106.8;15.2
766304.66;6284603.66;1.3;0.47;93;10400;109.3;11.2
