X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer;Pourcentage du taux de recuperation
766327.05;6284537.26;0.91;0.35;55;7280;66.8;29.6
766327.13;6284534.57;0.78;0.43;44;6240;52.4;38.4
766327.28;6284531.71;0.82;0.38;60;6560;70.3;25.6
766322.18;6284532.31;0.79;0.41;55;6320;63.8;29.6
766322.06;6284535.73;0.79;0.35;56;6320;63.7;28.8
766322.04;6284538.03;0.73;0.38;58;5840;64.6;27.2
766321.89;6284541.03;0.75;0.36;59;6000;66;26.4
766321.84;6284544.37;0.76;0.37;57;6080;64.2;28
766321.95;6284547.28;0.79;0.45;48;6320;57;35.2
766321.85;6284549.95;0.78;0.43;55;6240;63.9;29.6
766321.82;6284553.2;0.74;0.35;50;5920;55.6;33.6
766321.72;6284555.32;0.79;0.35;27;6320;38.7;52
766321.72;6284559.01;0.71;0.42;38;5680;45.1;43.2
766321.61;6284561.85;0.71;0.32;62;5680;67.3;24
766321.52;6284564.14;0.72;0.36;55;5760;60.4;29.6
766321.43;6284567.76;0.72;0.42;56;5760;62.8;28.8
766321.39;6284570.04;0.76;0.37;58;6080;65.4;27.2
766321.29;6284573.89;0.74;0.25;49;5920;52.8;34.4
766321.19;6284576.5;0.76;0.29;50;6080;55.1;33.6
766321.17;6284579.1;0.72;0.3;54;5760;58.1;30.4
766321.05;6284582.15;0.72;0.33;50;5760;54.6;33.6
766320.97;6284585.65;0.81;0.37;56;6480;64.8;28.8
766320.91;6284587.83;0.79;0.32;57;6320;64.2;28
766320.87;6284590.78;0.72;0.32;56;5760;60.7;28.8
766320.82;6284593.79;0.76;0.39;62;6080;70.8;24
766320.73;6284596.38;0.86;0.37;44;6880;53.6;38.4
766320.68;6284599.02;0.85;0.33;40;6800;49;41.6
766320.58;6284602.24;0.77;0.37;51;6160;58;32.8
766320.52;6284605.03;0.74;0.26;52;5920;55.9;32
766320.46;6284608.11;0.77;0.33;57;6160;63.7;28
766320.42;6284611.24;0.73;0.4;59;5840;66.2;26.4
766320.34;6284613.74;0.72;0.35;56;5760;61.3;28.8
766320.25;6284617.07;0.77;0.37;59;6160;67;26.4
766320.17;6284619.78;0.78;0.32;44;6240;50.5;38.4
766320.15;6284622.42;0.74;0.4;57;5920;64.2;28
766320;6284625.09;0.76;0.26;41;6080;46.3;40.8
766319.91;6284627.78;0.72;0.28;44;5760;48.2;38.4
766319.86;6284631.3;0.71;0.36;59;5680;64.6;26.4
766319.87;6284634.09;0.74;0.38;56;5920;62.6;28.8
766319.75;6284636.96;0.79;0.38;55;6320;63.2;29.6
766319.77;6284639.56;0.77;0.34;44;6160;50.6;38.4
766319.55;6284643.52;0.74;0.34;27;5920;36.6;52
766319.44;6284645.64;0.8;0.4;62;6400;72.6;24
766319.34;6284648.68;0.88;0.38;60;7040;72.6;25.6
766319.37;6284650.87;0.85;0.55;60;6800;75.7;25.6
766314.66;6284641.53;0.81;0.31;45;6480;52.1;37.6
766314.65;6284639.02;0.75;0.32;61;6000;67.5;24.8
766314.73;6284636.42;0.75;0.27;58;6000;62.9;27.2
766314.85;6284633.37;0.76;0.29;45;6080;50.3;37.6
766314.89;6284630.08;0.75;0.45;46;6000;53.8;36.8
766314.94;6284628;0.72;0.28;48;5760;51.8;35.2
766315.06;6284623.89;0.83;0.8;17;6640;44.3;60
766315.14;6284621.25;0.76;0.32;54;6080;59.8;30.4
766315.16;6284618.63;0.76;0.4;55;6080;62.6;29.6
766315.24;6284615.85;0.77;0.33;57;6160;63.7;28
766315.35;6284612.49;0.82;0.37;51;6560;59.5;32.8
766315.39;6284609.98;0.72;0.48;59;5760;67.6;26.4
766315.51;6284606.89;0.7;0.31;52;5600;55.6;32
766315.56;6284604.39;0.7;0.36;62;5600;67.8;24
766315.66;6284601.16;0.77;0.37;48;6160;54.9;35.2
766315.75;6284598.86;0.74;0.34;53;5920;58.5;31.2
766315.78;6284594.62;0.87;0.55;12;6960;38.5;64
766315.8;6284593.11;0.77;0.34;56;6160;62.8;28.8
766315.99;6284589.39;0.78;0.36;57;6240;64.7;28
766316;6284587.67;0.77;0.45;45;6160;53.4;37.6
766316.14;6284582.9;0.83;0.46;41;6640;51.6;40.8
766316.11;6284581.05;0.75;0.34;54;6000;59.9;30.4
766316.19;6284578.51;0.7;0.33;55;5600;59.2;29.6
766316.22;6284575.95;0.77;0.31;33;6160;41;47.2
766316.39;6284572.66;0.76;0.36;20;6080;34.6;57.6
766316.46;6284569.1;0.74;0.39;55;5920;61.7;29.6
766316.58;6284565.97;0.73;0.31;42;5840;47.2;40
766316.63;6284562.73;0.86;0.44;16;6880;37.9;60.8
766316.71;6284560.35;0.82;0.4;44;6560;53;38.4
766316.8;6284557.05;0.9;0.36;36;7200;49;44.8
766316.87;6284555.27;0.84;0.33;40;6720;48.7;41.6
766316.93;6284551.39;0.79;0.51;29;6320;42.4;50.4
766317.01;6284548.67;0.8;0.33;52;6400;59.2;32
766317.08;6284546.5;0.89;0.38;43;7120;53.7;39.2
766317.21;6284543.04;0.8;0.36;55;6400;63.1;29.6
766317.28;6284540.19;0.76;0.32;58;6080;64.3;27.2
766317.38;6284537.57;0.79;0.47;34;6320;44.6;46.4
766317.45;6284534.88;0.84;0.38;40;6720;49.5;41.6
